,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR,Name,Unnamed: 0.1
5,5, 쌍방울,27,91,366,310,47,92,17,3,12,151,53,3,6,0,20,48,9,0,2,0.297,0.39899999999999997,0.48700000000000004,0.8859999999999999,0.387,149.3,3.0,김기태,5.0
6,6, 쌍방울,28,111,478,390,95,134,30,3,26,248,79,10,7,2,14,54,11,0,2,0.344,0.46,0.636,1.0959999999999999,0.47200000000000003,202.6,7.3,김기태,6.0
7,7, 쌍방울,29,126,541,434,84,134,28,4,31,263,90,10,5,0,15,79,11,0,3,0.309,0.44,0.606,1.046,0.445,186.5,7.28,김기태,7.0
8,8, 삼성,30,130,560,468,82,137,33,2,28,258,88,5,4,6,6,95,9,1,3,0.293,0.40299999999999997,0.551,0.9540000000000001,0.40700000000000003,140.5,3.83,김기태,8.0
9,9, 삼성,31,101,395,333,69,103,24,1,26,207,80,5,1,2,7,56,6,0,3,0.309,0.41,0.622,1.032,0.436,162.1,3.85,김기태,9.0
10,10, 삼성,32,44,102,85,5,15,2,1,0,19,9,0,0,1,1,17,1,0,0,0.17600000000000002,0.314,0.22399999999999998,0.537,0.271,48.8,-0.35,김기태,10.0
11,11, SK,33,101,337,284,32,73,15,1,9,117,46,2,1,0,0,57,6,3,3,0.257,0.359,0.41200000000000003,0.7709999999999999,0.344,110.9,1.35,김기태,11.0
12,12, SK,34,93,265,236,32,69,7,0,3,85,18,2,2,0,0,30,4,1,1,0.292,0.364,0.36,0.7240000000000001,0.33799999999999997,99.9,0.69,김기태,12.0
13,13, SK,35,126,465,403,60,129,24,0,10,183,67,2,4,0,6,55,10,4,1,0.32,0.40399999999999997,0.45399999999999996,0.858,0.389,134.7,2.63,김기태,13.0
14,14, SK,36,54,130,112,5,23,4,0,0,27,11,0,0,0,1,23,4,2,1,0.205,0.297,0.24100000000000002,0.5379999999999999,0.258,47.1,-0.52,김기태,14.0
0,0, 청보,22,87,253,230,20,57,14,1,10,103,26,1,2,3,0,48,8,1,0,0.248,0.314,0.44799999999999995,0.7609999999999999,0.35600000000000004,130.0,2.53,김동기,0.0
1,1, 청보,23,105,414,350,47,97,21,0,9,145,48,3,5,4,2,55,7,8,1,0.27699999999999997,0.374,0.414,0.789,0.3670000000000001,127.2,4.0,김동기,1.0
2,2, 태평양,24,62,248,212,41,76,18,1,10,126,39,3,0,5,4,27,3,1,2,0.358,0.441,0.594,1.036,0.461,191.9,4.56,김동기,2.0
3,3, 태평양,25,120,489,399,61,100,25,1,11,160,59,7,9,7,8,86,8,2,4,0.251,0.37799999999999995,0.401,0.779,0.3670000000000001,126.7,4.71,김동기,3.0
4,4, 태평양,26,114,394,336,52,84,20,1,14,148,46,5,3,5,3,58,6,5,0,0.25,0.35200000000000004,0.44,0.7929999999999999,0.365,123.0,3.86,김동기,4.0
5,5, 태평양,27,98,333,286,37,75,9,1,7,107,34,9,4,4,4,50,8,5,1,0.262,0.354,0.374,0.728,0.335,104.4,2.57,김동기,5.0
6,6, 태평양,28,107,391,333,53,98,15,2,15,162,58,2,1,7,1,59,13,5,0,0.294,0.391,0.486,0.878,0.39399999999999996,138.0,4.51,김동기,6.0
7,7, 태평양,29,93,364,315,33,77,22,1,3,110,34,1,3,6,1,67,16,2,1,0.244,0.34,0.349,0.6890000000000001,0.32799999999999996,111.9,2.78,김동기,7.0
